PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
iPWR,Heat Rate (Btu/kWh),11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161,11006.45161
iPWR,CAPEX(2012$/MW),4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800,4870800
iPWR,FOM(2012$/MW/yr),101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200,101200
iPWR,VOM(2012$/MWh),8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58
iPWR,Lifetime(years),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
HTGR,Heat Rate (Btu/kWh),7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574
HTGR,CAPEX(2012$/MW),6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000,6600000
HTGR,FOM(2012$/MW/yr),144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320,144320
HTGR,VOM(2012$/MWh),11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44
HTGR,Lifetime(years),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
PBR-HTGR,Heat Rate (Btu/kWh),8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530,8530
PBR-HTGR,CAPEX(2012$/MW),4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720,4020720
PBR-HTGR,FOM(2012$/MW/yr),88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000
PBR-HTGR,VOM(2012$/MWh),11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44,11.44
PBR-HTGR,Lifetime(years),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
iMSR,Heat Rate (Btu/kWh),7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574,7259.574
iMSR,CAPEX(2012$/MW),3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080,3600080
iMSR,FOM(2012$/MW/yr),74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800,74800
iMSR,VOM(2012$/MWh),10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12,10.12
iMSR,Lifetime(years),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Micro,Heat Rate (Btu/kWh),10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39,10339.39
Micro,CAPEX(2012$/MW),9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760,9593760
Micro,FOM(2012$/MW/yr),232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320,232320
Micro,VOM(2012$/MWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micro,Lifetime(years),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
